student_id,certificates_issued,minutes_watched
273992,2,712.97
274039,7,8124.20
274050,10,30730.50
274070,2,2525.13
274087,1,190.00
274162,1,847.95
274163,1,737.02
274209,1,1029.22
274269,2,425.73
274273,2,1202.67
274382,3,1879.05
274564,4,7451.13
274572,1,725.83
274576,5,6015.67
274611,1,152.23
274630,1,178.63
274798,1,629.15
274814,2,1647.43
274825,1,1147.78
274836,1,89.18
274838,1,82.53
274861,3,3514.15
274880,1,58.73
274904,2,860.90
274906,7,10375.05
274908,1,458.45
274929,2,1631.73
274996,3,2281.20
275008,1,173.43
275020,6,7159.60
275021,3,631.40
275038,4,2860.13
275103,1,169.48
275129,3,4248.80
275132,3,1724.35
275165,2,1314.53
275273,1,234.17
275275,1,324.93
275277,1,528.00
275282,5,4709.33
275286,1,269.18
275293,1,104.57
275442,4,6020.13
275449,3,2316.20
275470,7,10103.57
275552,1,302.38
275574,1,419.92
275590,3,1912.90
275788,3,1156.75
275799,1,324.60
276135,3,3416.80
276232,1,301.60
276265,1,280.65
276395,1,146.78
276439,6,9108.60
276455,4,4995.40
276490,1,1165.85
276783,3,2096.50
276784,1,550.53
276887,1,449.72
277066,2,1666.83
277084,3,2818.45
277099,1,187.37
277285,1,992.13
277398,1,536.78
277410,1,146.98
277508,4,3964.20
277557,2,2616.03
277590,2,916.13
277791,1,488.25
277825,1,338.32
277864,1,288.53
277964,1,308.62
278055,1,222.32
278177,1,200.88
278283,2,2109.77
278326,1,271.53
278509,1,662.55
278582,2,792.17
278753,1,636.97
278758,1,225.93
278881,2,980.67
278882,1,174.78
278927,2,767.70
279468,1,160.08
279738,1,158.07
279766,1,132.80
